SampleID	Chr	Start	End	Gene
17296sorted	1	10385470	10385472	KIF1B
17296sorted	1	11046854	11046856	rs9430161
17296sorted	1	17722362	17722364	PADI6
17296sorted	1	150860470	150860472	rs7412746
17296sorted	1	228997834	228997836	rs801114
17296sorted	1	241682890	241683023	FH
17296sorted	2	46537603	46537605	EPAS1
17296sorted	2	47596644	47596721	EPCAM
17296sorted	2	48010372	48010633	MSH6
17296sorted	2	215672545	215672547	BARD1
17296sorted	2	223845941	223845943	rs7584993
17296sorted	3	10085512	10085549	FANCD2
17296sorted	3	10091057	10091190	FANCD2
17296sorted	3	10106412	10106560	FANCD2
17296sorted	3	10183531	10183872	VHL
17296sorted	3	14219965	14220069	XPC
17296sorted	3	37627111	37627113	ITGA9
17296sorted	3	128205645	128205875	GATA2
17296sorted	3	151899703	151899705	rs161792
17296sorted	3	170130101	170130103	rs10936632
17296sorted	3	189356260	189356262	TP63
17296sorted	3	189383182	189383184	TP63
17296sorted	5	1288546	1288548	TERT
17296sorted	5	1895828	1895830	rs12653946
17296sorted	6	22140003	22140005	rs6939340
17296sorted	6	35420322	35420571	FANCE
17296sorted	6	151948365	151948367	rs2046210
17296sorted	7	6013029	6013174	PMS2
17296sorted	7	6017218	6017389	PMS2
17296sorted	7	6018226	6018328	PMS2
17296sorted	7	55086970	55087059	EGFR
17296sorted	7	86983714	86983716	CROT
17296sorted	7	97816326	97816328	LMTK2
17296sorted	8	128355617	128355619	rs13281615
17296sorted	8	145742797	145742893	RECQL4
17296sorted	8	145742985	145743020	RECQL4
17296sorted	8	145743084	145743169	RECQL4
17296sorted	9	100459402	100459575	XPA
17296sorted	10	8701218	8701220	rs10795668
17296sorted	10	43572706	43572780	RET
17296sorted	10	51549495	51549497	TIMM23B
17296sorted	10	63723576	63723578	ARID5B
17296sorted	10	64580574	64580576	EGR2
17296sorted	10	88516384	88516688	BMPR1A
17296sorted	11	2233573	2233575	rs7127900
17296sorted	11	2905233	2905365	CDKN1C
17296sorted	11	44117802	44117872	EXT2
17296sorted	11	83620786	83620788	DLG2
17296sorted	11	111171708	111171710	C11orf92
